,east,west,dmi
1957-05-01,0.027469134322388348,0.7336238239149013,0.7061546895925129
1957-06-01,-0.1267096310100871,-0.21326527046915567,-0.08655563945906858
1957-07-01,-0.270572638083428,-0.40869178675809215,-0.13811914867466413
1957-08-01,-0.668140264320973,-0.43569279094506924,0.2324474733759037
1957-09-01,-0.7895243734909756,-0.35112632116148657,0.43839805232948903
1957-10-01,-0.40327620091075284,-0.1392665601522052,0.2640096407585476
1957-11-01,0.7237015999158314,0.0016764862392694088,-0.722025113676562
1957-12-01,0.5463881405321703,-0.034847184933981395,-0.5812353254661518
1958-01-01,1.059892282800289,0.6041016868097143,-0.4557905959905747
1958-02-01,0.48621005557136027,0.3681810466503391,-0.11802900892102114
1958-03-01,-0.08984443239941632,0.036314112137767314,0.12615854453718364
1958-04-01,0.5781112185159021,0.04059334215869869,-0.5375178763572034
1958-05-01,0.3902177429059508,-0.7331775951409514,-1.1233953380469022
1958-06-01,1.2040959159689069,-0.5950642586103021,-1.799160174579209
1958-07-01,1.1786398732612882,-0.41142648821161254,-1.5900663614729007
1958-08-01,1.097418126328847,-0.010446714922640422,-1.1078648412514873
1958-09-01,1.3280547220299104,-0.4841637693369738,-1.8122184913668842
1958-10-01,1.274895231701343,-0.5191974775821442,-1.794092709283487
1958-11-01,0.7808322329067863,-0.2966563321866825,-1.0774885650934687
1958-12-01,0.1745480881244585,0.34970576312162593,0.17515767499716745
1959-01-01,-0.027517130118576087,0.9326895473728539,0.96020667749143
1959-02-01,0.4127875552475294,0.7158925589271816,0.3031050036796522
1959-03-01,0.5283010160921519,0.2388168289248621,-0.28948418716728974
1959-04-01,0.22699965802725083,-0.2914995582955725,-0.5184992163228234
1959-05-01,0.6790710960868266,-0.4506174562250925,-1.1296885523119191
1959-06-01,0.2423666224750832,-0.7920012801856545,-1.0343679026607377
1959-07-01,0.0352635321609588,-1.0968158546154088,-1.1320793867763677
1959-08-01,0.17674579314488223,-0.6712237682447527,-0.847969561389635
1959-09-01,0.2031158290049558,-0.3724069205005013,-0.5755227495054571
1959-10-01,0.505831815728894,-0.41327594241057786,-0.9191077581394719
1959-11-01,0.31702313477397875,-0.3063240795787055,-0.6233472143526843
1959-12-01,0.36834130468002785,-0.3069884964811461,-0.6753298011611739
